"pattern_name","filename","originator","pattern_type","image_source_url","image_source","status"
"Albie Whore","albie-whore.jpg","Richard Reagan","baitfish","https://bearsden.com/cdn/shop/products/IMG_4785.jpg?v=1691516687&width=1080","Bear's Den Fly Fishing Co. product photo — clean square background, clear side profile","ok"
"Alphlexo Crab","alphlexo-crab.webp","James Christmas / Alec Gerbec (Umpqua)","crab","https://www.superflies.com/wp-content/uploads/2023/02/alphlexo-crab-original-superflies_jpg.webp","Superflies.com product photo — Alphlexo Crab Original, clean side profile on white background","ok"
"Andino Deceiver","andino-deceiver.jpg","Bob Popovics / Jimmy Andino (2000s)","baitfish","https://bigyflyco.com/cdn/shop/files/20230712_132017_1051x700.jpg?v=1689193558","Big Y Fly Co product photo, clean background, clear side profile of weighted Andino Deceiver","ok"
"Apte II Tarpon Fly","apte-ii-tarpon-fly.jpg","Stu Apte","streamer","https://cdn11.bigcommerce.com/s-2iqsrmv4m0/products/593/images/979/Apte-II-Tarpon-Fly__65938__39191.1544756164.386.513.jpg?c=2","reelflies.com — commercial product photo, white background, fly on hook","ok"
"Articulated Baitfish","articulated-baitfish.jpg","Stephen Chatterton","baitfish","https://fishonfly.com.au/wp-content/uploads/2019/10/ripper-a.jpg","fishonfly.com.au — Stephen Chatterton's articulated baitfish pattern page","ok"
"Atlantic Sardine Baitfish","","","baitfish","","No specific photo found; West African sardine baitfish patterns are not commercially photographed","no_url"
"Avalon Permit Fly","avalon-permit-fly.jpg","Mauro Ginevri (Cayo Largo, Cuba, c. 2000s)","shrimp","https://cdn.shopify.com/s/files/1/0211/7110/products/avalon-permit-fly.jpg","Pacific Fly Fishers fly shop product photo, clean square image","ok"
"Avalon Tarpon Fly","avalon-tarpon-fly.jpg","Mauro Ginevri (2009)","streamer","https://blog.saltyflytying.com/wp-content/uploads/2013/03/Avalon3.jpg","blog.saltyflytying.com — tying authority blog credited to Mauro Ginevri; note this image may show the Avalon permit variant rather than the specific tarpon version","ok"
"Bauer Crab","bauer-crab.jpg","Will Bauer (1980s)","crab","https://www.fullingmill.com/94627.jpg","Fulling Mill product photo — Tungsten Bauer Crab Tan, high-resolution clean white background","ok"
"Beast Fleye","beast-fleye.jpg","","baitfish","https://www.aos.cc/media/catalog/product/cache/e9a3ba468fa12d1c1f06bb0545e99349/b/e/beast_fleye_80_olive_green_back-min.jpg","AOS fly shop product photo — clean white background, clear side profile of olive Beast Fleye","ok"
"Bedhead","","Alphonse Fishing Co. guides (Seychelles, c. 2015)","crab","","No specific Bedhead crab image found in searched sources (Alphonse FC, SaltFlyPro, BigTimeFLies, Fulling Mill)","no_url"
"Big Eye Tarpon","big-eye-tarpon.jpg","Bob LeMay","streamer","https://cdn.shoplightspeed.com/shops/607904/files/7920515/bigeye-tarpon-small.jpg","floridakeysoutfitters.com — specialist fly shop, clean product photo, correctly named","ok"
"Big Eye Tuna Fly","big-eye-tuna-fly.jpg","","baitfish","https://cdn11.bigcommerce.com/s-yjvvzszzfj/images/stencil/1280x1280/products/16341/16346/Big_Eye_Baitfish_Rogers_Herring__32112.1574279590.jpg?c=2","Umpqua Feather Merchants product photo — Big Eye Baitfish, closest commercially available match with prominent 3D eyes","ok"
"Big Game Brush Fly","big-game-brush-fly.png","Flymen Fishing Company (based on Seychelles GT patterns)","streamer","https://flymenfishingcompany.com/cdn/shop/files/Fish-Skull_Big_Game_Brush_Flies_Grey.png?v=1751468839","flymenfishingcompany.com — manufacturer product photo, white background, correct pattern","ok"
"Bird Dog (Captain Sullivan's)","bird-dog-captain-sullivans.jpg","Capt. Jason Sullivan","baitfish","https://news.orvis.com/wp-content/uploads/2021/11/sully2.jpg","Orvis News editorial article — '3 Guide-Tested Patterns for Everglades National Park'","ok"
"Black & Purple Tarpon Toad","black-purple-tarpon-toad.jpg","","streamer","http://bigtimeflies.com/cdn/shop/products/tarpon-toad-small-purple-black_800x.jpg?v=1586559781","bigtimeflies.com — Tarpon Toad Purple/Black product photo","ok"
"Black 'n' Barred","","","streamer","","No specific photo found; this Australian regional variant is not commercially catalogued","no_url"
"Black Brush Fly","black-brush-fly.webp","","baitfish","https://www.superflies.com/wp-content/uploads/2020/11/gt-brush-fly-black-superflies_jpg.webp","Superflies.com professional GT fly shop product shot, clean background","ok"
"Black Death","black-death.jpg","Stu Apte","streamer","https://bigtimeflies.com/cdn/shop/products/black-death-tarpon-fly.jpg?v=1586636004","BigTime Flies shop — Black Death tarpon fly, clean square product photo","ok"
"Black Magic","black-magic.jpg","","shrimp","https://i.etsystatic.com/26621096/r/il/61fd39/7406903929/il_fullxfull.7406903929_sy4v.jpg","Etsy seller product photo of black saltwater shrimp/redfish fly on white background","ok"
"Blue/White Pacific Billfish Streamer","blue-white-pacific-billfish-streamer.jpg","","streamer","https://i.etsystatic.com/13339222/r/il/324db5/6752758399/il_fullxfull.6752758399_7u72.jpg","etsy.com — representative blue/white billfish tube fly; generic class pattern, no single originator","ok"
"Bonefish Bitters","bonefish-bitters.webp","Craig Mathews (1980s)","shrimp","https://assets.orvis.com/is/image/orvisprd/1X1X439W_?wid=1280&src=is($object$:1-1)&qlt=85&resMode=sharp2&op_usm=1.75,0.3,2,0","Orvis product photo, clean white background, clear side profile of Bonefish Bitters","ok"
"Bonefish Scampi","bonefish-scampi.jpg","","shrimp","https://www.saltwaterflies.com/banded_scampi_side.jpg","SaltwaterFlies.com side-profile product shot, clean background","ok"
"Bonefish Special","bonefish-special.jpg","","shrimp","http://bearsden.com/cdn/shop/files/IMG_6319.jpg?v=1721143437","Bear's Den Fly Shop — Bonefish Special product page","ok"
"Bonefish Toad","bonefish-toad.jpg","","other","https://www.flyfishbonehead.com/wp-content/uploads/2015/07/bonefish-toad-bonefish-fly-fly-tying-videos-for-bonefish.jpg","FlyFishBonehead dedicated Bonefish Toad page — clear close-up photo of the tied fly","ok"
"Borski Slider","borski-slider.webp","Tim Borski","slider","https://assets.orvis.com/is/image/orvisprd/018Y009W_?wid=1280&src=is($object$:1-1)&qlt=85&resMode=sharp2&op_usm=1.75,0.3,2,0","Orvis product photo, white background, clean side profile of Borski Bonefish Slider","ok"
"Borski's Orange Butt Tarpon","borskis-orange-butt-tarpon.png","Tim Borski (Florida Keys)","streamer","https://cdn11.bigcommerce.com/s-5020eou/images/stencil/1280x1280/products/2301/9635/050_300_side__88317.1448485287.png?c=2","RiverBum.com large side-profile product image on white background","ok"
"Brewer's Amber Shrimp","","","shrimp","","No specific Brewer's Amber Shrimp image found in searched fly shop databases or editorial sources","no_url"
"Brown Special Crab","","","crab","","No specific named-pattern photo found; search returned generic permit crab patterns only","no_url"
